total_words,french,english,arabic_script,tunisian_latin,technical_codes,tech_details,unknown,word_details,identified_tech_codes,ticket_id,title,confidence
16,7,1,0,0,0,{},8,"[{'word': 'Problème', 'language': 'french', 'is_technical': False}, {'word': 'clavier', 'language': 'french', 'is_technical': False}, {'word': 'Le', 'language': 'french', 'is_technical': False}, {'word': 'clavier', 'language': 'french', 'is_technical': False}, {'word': 'de', 'language': 'french', 'is_technical': False}, {'word': 'mon', 'language': 'unknown', 'is_technical': False}, {'word': 'portable', 'language': 'unknown', 'is_technical': False}, {'word': 'ne', 'language': 'unknown', 'is_technical': False}, {'word': 'fonctionne', 'language': 'unknown', 'is_technical': False}, {'word': 'plus', 'language': 'french', 'is_technical': False}, {'word': 'correctement', 'language': 'french', 'is_technical': False}, {'word': 'certaines', 'language': 'unknown', 'is_technical': False}, {'word': 'touches', 'language': 'english', 'is_technical': False}, {'word': 'ne', 'language': 'unknown', 'is_technical': False}, {'word': 'répondent', 'language': 'unknown', 'is_technical': False}, {'word': 'pas', 'language': 'unknown', 'is_technical': False}]",{},7,Problème clavier,50.0
10,3,0,0,3,0,{},4,"[{'word': 'Password', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'reset', 'language': 'unknown', 'is_technical': False}, {'word': 'N7eb', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'na3mel', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'reset', 'language': 'unknown', 'is_technical': False}, {'word': 'l', 'language': 'unknown', 'is_technical': False}, {'word': 'mot', 'language': 'french', 'is_technical': False}, {'word': 'de', 'language': 'french', 'is_technical': False}, {'word': 'passe', 'language': 'french', 'is_technical': False}, {'word': 'Windows', 'language': 'unknown', 'is_technical': False}]",{},34,Password reset,60.0
13,2,5,0,1,0,{},5,"[{'word': 'BOOTMGR', 'language': 'unknown', 'is_technical': False}, {'word': 'missing', 'language': 'english', 'is_technical': False}, {'word': 'Mon', 'language': 'unknown', 'is_technical': False}, {'word': 'PC', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'affiche', 'language': 'english', 'is_technical': False}, {'word': 'BOOTMGR', 'language': 'unknown', 'is_technical': False}, {'word': 'is', 'language': 'english', 'is_technical': False}, {'word': 'missing', 'language': 'english', 'is_technical': False}, {'word': 'je', 'language': 'french', 'is_technical': False}, {'word': 'ne', 'language': 'unknown', 'is_technical': False}, {'word': 'peux', 'language': 'french', 'is_technical': False}, {'word': 'pas', 'language': 'unknown', 'is_technical': False}, {'word': 'démarrer', 'language': 'english', 'is_technical': False}]",{},39,BOOTMGR missing,61.54
13,2,5,0,1,0,{},5,"[{'word': 'BOOTMGR', 'language': 'unknown', 'is_technical': False}, {'word': 'missing', 'language': 'english', 'is_technical': False}, {'word': 'Mon', 'language': 'unknown', 'is_technical': False}, {'word': 'PC', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'affiche', 'language': 'english', 'is_technical': False}, {'word': 'BOOTMGR', 'language': 'unknown', 'is_technical': False}, {'word': 'is', 'language': 'english', 'is_technical': False}, {'word': 'missing', 'language': 'english', 'is_technical': False}, {'word': 'je', 'language': 'french', 'is_technical': False}, {'word': 'ne', 'language': 'unknown', 'is_technical': False}, {'word': 'peux', 'language': 'french', 'is_technical': False}, {'word': 'pas', 'language': 'unknown', 'is_technical': False}, {'word': 'démarrer', 'language': 'english', 'is_technical': False}]",{},153,BOOTMGR missing,61.54
34,0,2,17,0,7,{'ports': 7},8,"[{'word': 'خطأ', 'language': 'arabic_script', 'is_technical': False}, {'word': 'في', 'language': 'arabic_script', 'is_technical': False}, {'word': 'Windows', 'language': 'unknown', 'is_technical': False}, {'word': 'Server', 'language': 'english', 'is_technical': False}, {'word': '2022', 'language': 'tech_ports', 'is_technical': True}, {'word': 'أهلا', 'language': 'arabic_script', 'is_technical': False}, {'word': 'وسهلا', 'language': 'arabic_script', 'is_technical': False}, {'word': 'Windows', 'language': 'unknown', 'is_technical': False}, {'word': 'Server', 'language': 'english', 'is_technical': False}, {'word': '2022', 'language': 'tech_ports', 'is_technical': True}, {'word': 'يعطي', 'language': 'arabic_script', 'is_technical': False}, {'word': 'Event', 'language': 'unknown', 'is_technical': False}, {'word': 'ID', 'language': 'unknown', 'is_technical': False}, {'word': '4625', 'language': 'tech_ports', 'is_technical': True}, {'word': 'كثير', 'language': 'arabic_script', 'is_technical': False}, {'word': 'في', 'language': 'arabic_script', 'is_technical': False}, {'word': 'Security', 'language': 'unknown', 'is_technical': False}, {'word': 'Log', 'language': 'unknown', 'is_technical': False}, {'word': 'محاولات', 'language': 'arabic_script', 'is_technical': False}, {'word': 'دخول', 'language': 'arabic_script', 'is_technical': False}, {'word': 'فاشلة', 'language': 'arabic_script', 'is_technical': False}, {'word': 'من', 'language': 'arabic_script', 'is_technical': False}, {'word': 'IP', 'language': 'unknown', 'is_technical': False}, {'word': '203', 'language': 'tech_ports', 'is_technical': True}, {'word': '45', 'language': 'tech_ports', 'is_technical': True}, {'word': '67', 'language': 'tech_ports', 'is_technical': True}, {'word': '89', 'language': 'tech_ports', 'is_technical': True}, {'word': 'هل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'هذا', 'language': 'arabic_script', 'is_technical': False}, {'word': 'هجوم', 'language': 'arabic_script', 'is_technical': False}, {'word': 'محتاجة', 'language': 'arabic_script', 'is_technical': False}, {'word': 'نحجب', 'language': 'arabic_script', 'is_technical': False}, {'word': 'هذا', 'language': 'arabic_script', 'is_technical': False}, {'word': 'IP', 'language': 'unknown', 'is_technical': False}]","{'versions': ['203.45.67.89'], 'ip_addresses': ['203.45.67.89'], 'ports': ['67', '45', '89', '2022', '203', '4625']}",178,خطأ في Windows Server 2022,76.47
54,3,16,2,4,6,{'ports': 6},23,"[{'word': 'Fortinet', 'language': 'unknown', 'is_technical': False}, {'word': 'FortiGate', 'language': 'unknown', 'is_technical': False}, {'word': 'مشاكل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'bandwidth', 'language': 'english', 'is_technical': False}, {'word': 'WiFi', 'language': 'english', 'is_technical': False}, {'word': 'issues', 'language': 'unknown', 'is_technical': False}, {'word': 'kifkom', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'team', 'language': 'unknown', 'is_technical': False}, {'word': 'Multiple', 'language': 'unknown', 'is_technical': False}, {'word': 'issues', 'language': 'unknown', 'is_technical': False}, {'word': 'today', 'language': 'english', 'is_technical': False}, {'word': 'Fortinet', 'language': 'unknown', 'is_technical': False}, {'word': 'FortiGate', 'language': 'unknown', 'is_technical': False}, {'word': '200E', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'firmware', 'language': 'unknown', 'is_technical': False}, {'word': '7', 'language': 'tech_ports', 'is_technical': True}, {'word': '2', 'language': 'tech_ports', 'is_technical': True}, {'word': '3', 'language': 'tech_ports', 'is_technical': True}, {'word': 'shows', 'language': 'english', 'is_technical': False}, {'word': 'bandwidth', 'language': 'english', 'is_technical': False}, {'word': 'utilization', 'language': 'french', 'is_technical': False}, {'word': '95', 'language': 'tech_ports', 'is_technical': True}, {'word': 'constantly', 'language': 'english', 'is_technical': False}, {'word': 'but', 'language': 'english', 'is_technical': False}, {'word': 'actual', 'language': 'unknown', 'is_technical': False}, {'word': 'traffic', 'language': 'unknown', 'is_technical': False}, {'word': 'monitoring', 'language': 'english', 'is_technical': False}, {'word': 'tools', 'language': 'unknown', 'is_technical': False}, {'word': 'show', 'language': 'english', 'is_technical': False}, {'word': 'only', 'language': 'english', 'is_technical': False}, {'word': '30', 'language': 'tech_ports', 'is_technical': True}, {'word': 'suspicious', 'language': 'unknown', 'is_technical': False}, {'word': 'Also', 'language': 'unknown', 'is_technical': False}, {'word': 'WiFi', 'language': 'english', 'is_technical': False}, {'word': 'infrastructure', 'language': 'unknown', 'is_technical': False}, {'word': 'Ubiquiti', 'language': 'french', 'is_technical': False}, {'word': 'UniFi', 'language': 'unknown', 'is_technical': False}, {'word': '6', 'language': 'tech_ports', 'is_technical': True}, {'word': 'Enterprise', 'language': 'unknown', 'is_technical': False}, {'word': 'dropping', 'language': 'english', 'is_technical': False}, {'word': 'connections', 'language': 'unknown', 'is_technical': False}, {'word': 'randomly', 'language': 'english', 'is_technical': False}, {'word': 'users', 'language': 'unknown', 'is_technical': False}, {'word': 'complain', 'language': 'unknown', 'is_technical': False}, {'word': 'internet', 'language': 'english', 'is_technical': False}, {'word': 'bati2', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'kol', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'dqiqa', 'language': 'unknown', 'is_technical': False}, {'word': 'tried', 'language': 'english', 'is_technical': False}, {'word': 'channel', 'language': 'english', 'is_technical': False}, {'word': 'optimization', 'language': 'french', 'is_technical': False}, {'word': 'ama', 'language': 'unknown', 'is_technical': False}, {'word': 'المشكلة', 'language': 'arabic_script', 'is_technical': False}, {'word': 'persist', 'language': 'unknown', 'is_technical': False}]","{'versions': ['7.2.3'], 'ports': ['2', '95', '6', '3', '7', '30']}",192,Fortinet FortiGate + مشاكل bandwidth + WiFi issues,57.41
11,0,3,0,0,0,{},8,"[{'word': 'Wi', 'language': 'unknown', 'is_technical': False}, {'word': 'Fi', 'language': 'unknown', 'is_technical': False}, {'word': 'disconnecting', 'language': 'english', 'is_technical': False}, {'word': 'The', 'language': 'english', 'is_technical': False}, {'word': 'Wi', 'language': 'unknown', 'is_technical': False}, {'word': 'Fi', 'language': 'unknown', 'is_technical': False}, {'word': 'keeps', 'language': 'unknown', 'is_technical': False}, {'word': 'disconnecting', 'language': 'english', 'is_technical': False}, {'word': 'every', 'language': 'unknown', 'is_technical': False}, {'word': 'few', 'language': 'unknown', 'is_technical': False}, {'word': 'minutes', 'language': 'unknown', 'is_technical': False}]",{},15,Wi-Fi disconnecting,27.27
11,0,0,11,0,0,{},0,"[{'word': 'كلمة', 'language': 'arabic_script', 'is_technical': False}, {'word': 'السر', 'language': 'arabic_script', 'is_technical': False}, {'word': 'الويفي', 'language': 'arabic_script', 'is_technical': False}, {'word': 'نحب', 'language': 'arabic_script', 'is_technical': False}, {'word': 'نبدل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'كلمة', 'language': 'arabic_script', 'is_technical': False}, {'word': 'السر', 'language': 'arabic_script', 'is_technical': False}, {'word': 'متاع', 'language': 'arabic_script', 'is_technical': False}, {'word': 'الويفي', 'language': 'arabic_script', 'is_technical': False}, {'word': 'كيفاش', 'language': 'arabic_script', 'is_technical': False}, {'word': 'نعمل', 'language': 'arabic_script', 'is_technical': False}]",{},24,كلمة السر الويفي,100.0
9,1,1,1,0,1,{'ports': 1},5,"[{'word': 'مشكل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'Outlook', 'language': 'unknown', 'is_technical': False}, {'word': 'SMTP', 'language': 'unknown', 'is_technical': False}, {'word': 'Outlook', 'language': 'unknown', 'is_technical': False}, {'word': 'ma', 'language': 'unknown', 'is_technical': False}, {'word': 'yeb3athch', 'language': 'english', 'is_technical': False}, {'word': 'erreur', 'language': 'french', 'is_technical': False}, {'word': 'SMTP', 'language': 'unknown', 'is_technical': False}, {'word': '550', 'language': 'tech_ports', 'is_technical': True}]",{'ports': ['550']},45,مشكل Outlook SMTP,44.44
9,1,0,8,0,0,{},0,"[{'word': 'برنامج', 'language': 'arabic_script', 'is_technical': False}, {'word': 'جديد', 'language': 'arabic_script', 'is_technical': False}, {'word': 'نحب', 'language': 'arabic_script', 'is_technical': False}, {'word': 'نركب', 'language': 'arabic_script', 'is_technical': False}, {'word': 'برنامج', 'language': 'arabic_script', 'is_technical': False}, {'word': 'جديد', 'language': 'arabic_script', 'is_technical': False}, {'word': 'يلزمني', 'language': 'arabic_script', 'is_technical': False}, {'word': 'صلاحيات', 'language': 'arabic_script', 'is_technical': False}, {'word': 'administrateur', 'language': 'french', 'is_technical': False}]",{},141,برنامج جديد,100.0
13,6,1,0,0,1,{'error_codes': 1},5,"[{'word': 'Erreur', 'language': 'french', 'is_technical': False}, {'word': 'Visual', 'language': 'unknown', 'is_technical': False}, {'word': 'Studio', 'language': 'unknown', 'is_technical': False}, {'word': 'Bonjour', 'language': 'french', 'is_technical': False}, {'word': ""j'ai"", 'language': 'french', 'is_technical': False}, {'word': 'une', 'language': 'french', 'is_technical': False}, {'word': 'erreur', 'language': 'french', 'is_technical': False}, {'word': '0x80070005', 'language': 'tech_error_codes', 'is_technical': True}, {'word': 'quand', 'language': 'french', 'is_technical': False}, {'word': ""j'essaie"", 'language': 'unknown', 'is_technical': False}, {'word': ""d'installer"", 'language': 'english', 'is_technical': False}, {'word': 'Visual', 'language': 'unknown', 'is_technical': False}, {'word': 'Studio', 'language': 'unknown', 'is_technical': False}]","{'error_codes': ['0x80070005'], 'hex_codes': ['0x80070005'], 'memory_addresses': ['0x80070005']}",151,Erreur Visual Studio,61.54
7,0,3,0,2,0,{},2,"[{'word': 'Blue', 'language': 'unknown', 'is_technical': False}, {'word': 'screen', 'language': 'english', 'is_technical': False}, {'word': 'PC', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'y3tini', 'language': 'tunisian_latin', 'is_technical': False}, {'word': 'blue', 'language': 'unknown', 'is_technical': False}, {'word': 'screen', 'language': 'english', 'is_technical': False}, {'word': 'KERNEL_SECURITY_CHECK_FAILURE', 'language': 'english', 'is_technical': False}]",{},160,Blue screen,71.43
14,0,0,14,0,0,{},0,"[{'word': 'مشكل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'الويفي', 'language': 'arabic_script', 'is_technical': False}, {'word': 'سلام', 'language': 'arabic_script', 'is_technical': False}, {'word': 'الويفي', 'language': 'arabic_script', 'is_technical': False}, {'word': 'عندي', 'language': 'arabic_script', 'is_technical': False}, {'word': 'ما', 'language': 'arabic_script', 'is_technical': False}, {'word': 'يخدمش', 'language': 'arabic_script', 'is_technical': False}, {'word': 'كيف', 'language': 'arabic_script', 'is_technical': False}, {'word': 'كيف', 'language': 'arabic_script', 'is_technical': False}, {'word': 'يقطع', 'language': 'arabic_script', 'is_technical': False}, {'word': 'كل', 'language': 'arabic_script', 'is_technical': False}, {'word': 'شوية', 'language': 'arabic_script', 'is_technical': False}, {'word': 'شنوة', 'language': 'arabic_script', 'is_technical': False}, {'word': 'الحل', 'language': 'arabic_script', 'is_technical': False}]",{},168,مشكل الويفي,100.0
